lapTimeOfDay,lapTime
42127,40.48
42167,31.13
42199,29.72
42228,30.18
42259,30.73
42289,12.37
43282,32
43314,29.38
43343,28.85
43372,28.46
43401,28.55
43429,28.48
43458,28.52
43486,28.26
43515,29.31
43544,28.22
43572,28.9
43601,13.96
49767,32.23
49799,29.05
49828,31.19
49859,29.45
49889,28.55
49918,29.19
49947,5.94
50684,30.98
50715,28.75
50744,28.11
50772,31.18
50803,28.8
50832,21.17
59839,37.53
59877,32.05
59909,28.88
59937,28.69
59966,24.69
60046,30.57
60077,29.01
60106,29.75
60135,29.11
60164,17.61
64067,37.97
64105,29.75
64135,28.68
64163,28.66
64192,29.15
64221,29.48
64251,29.46
64280,24.09
